LAT,LON,mag
-37.5,32.5,-0.1415
-37.5,37.5,-0.0834
-37.5,42.5,0.0297
-37.5,47.5,0.1939
-37.5,52.5,0.2787
-37.5,57.5,0.282
-37.5,62.5,0.274
-37.5,67.5,0.2954
-37.5,72.5,0.3049
-37.5,77.5,0.3144
-37.5,82.5,0.3863
-37.5,87.5,0.3282
-37.5,92.5,0.221
-37.5,97.5,-0.0083
-37.5,102.5,-0.2777
-37.5,107.5,-0.4858
-37.5,112.5,-0.508
-37.5,117.5,-0.3481
-37.5,122.5,-0.0668
-37.5,127.5,0.1796
-37.5,132.5,0.3167
-37.5,137.5,0.4556
-37.5,142.5,0.8661
-37.5,147.5,1.3489
-37.5,152.5,0.752
-37.5,157.5,0.5278
-37.5,162.5,0.2235
-37.5,167.5,-0.1687
-37.5,172.5,-0.374
-37.5,177.5,-0.1884
-37.5,182.5,-0.1089
-37.5,187.5,0.181
-37.5,192.5,0.46
-37.5,197.5,0.8312
-37.5,202.5,1.0617
-37.5,207.5,1.1087
-37.5,212.5,0.9531
-37.5,217.5,0.7777
-37.5,222.5,0.4845
-37.5,227.5,0.1244
-37.5,232.5,-0.1305
-37.5,237.5,-0.3247
-37.5,242.5,-0.3349
-37.5,247.5,-0.2
-37.5,252.5,0.035
-37.5,257.5,0.2959
-37.5,262.5,0.5095
-37.5,267.5,0.6743
-37.5,272.5,0.7296
-37.5,277.5,0.5763
-37.5,282.5,0.3959
-37.5,287.5,0.7025
-37.5,292.5,0.994
-37.5,297.5,1.0885
-37.5,302.5,0.6854
-37.5,307.5,0.7161
-37.5,312.5,0.651
-37.5,317.5,0.5994
-37.5,322.5,0.5692
-37.5,327.5,0.5262
-37.5,332.5,0.5071
-37.5,337.5,0.4768
-37.5,342.5,0.4438
-37.5,347.5,0.4005
-37.5,352.5,0.3144
-37.5,357.5,0.1916
-32.5,2.5,0.7877
-32.5,7.5,0.5821
-32.5,12.5,0.4378
-32.5,17.5,0.457
-32.5,22.5,0.1981
-32.5,27.5,0.1254
-32.5,32.5,0.1917
-32.5,37.5,0.3783
-32.5,42.5,0.5812
-32.5,47.5,0.8224
-32.5,52.5,0.9543
-32.5,57.5,0.9941
-32.5,62.5,1.0391
-32.5,67.5,1.0804
-32.5,72.5,1.0919
-32.5,77.5,1.0863
-32.5,82.5,1.0201
-32.5,87.5,0.83
-32.5,92.5,0.5606
-32.5,97.5,0.1065
-32.5,102.5,-0.2804
-32.5,107.5,-0.5412
-32.5,112.5,-0.5415
-32.5,117.5,-0.3001
-32.5,122.5,0.187
-32.5,127.5,0.2851
-32.5,132.5,0.6817
-32.5,137.5,1.19
-32.5,142.5,2.0429
-32.5,147.5,3.1827
-32.5,152.5,1.7741
-32.5,157.5,1.0437
-32.5,162.5,0.5713
-32.5,167.5,0.1973
-32.5,172.5,0.0068
-32.5,177.5,0.0539
-32.5,182.5,0.2885
-32.5,187.5,0.6333
-32.5,192.5,0.873
-32.5,197.5,1.1136
-32.5,202.5,1.2137
-32.5,207.5,1.0473
-32.5,212.5,0.7514
-32.5,217.5,0.4567
-32.5,222.5,0.1534
-32.5,227.5,-0.1891
-32.5,232.5,-0.4154
-32.5,237.5,-0.537
-32.5,242.5,-0.4371
-32.5,247.5,-0.189
-32.5,252.5,0.1042
-32.5,257.5,0.4228
-32.5,262.5,0.7347
-32.5,267.5,0.9548
-32.5,272.5,0.9572
-32.5,277.5,0.613
-32.5,282.5,0.3605
-32.5,287.5,0.2991
-32.5,292.5,2.0337
-32.5,297.5,0.8765
-32.5,302.5,0.386
-32.5,307.5,1.025
-32.5,312.5,1.4753
-32.5,317.5,1.4126
-32.5,322.5,1.3003
-32.5,327.5,1.2431
-32.5,332.5,1.279
-32.5,337.5,1.3352
-32.5,342.5,1.3487
-32.5,347.5,1.2968
-32.5,352.5,1.1778
-32.5,357.5,0.9953
-27.5,2.5,1.0176
-27.5,7.5,0.7613
-27.5,12.5,0.5885
-27.5,17.5,0.5665
-27.5,22.5,-0.1463
-27.5,27.5,-0.5885
-27.5,32.5,0.1929
-27.5,37.5,0.7076
-27.5,42.5,0.9201
-27.5,47.5,1.1575
-27.5,52.5,1.2758
-27.5,57.5,1.26
-27.5,62.5,1.2431
-27.5,67.5,1.2498
-27.5,72.5,1.2079
-27.5,77.5,1.1656
-27.5,82.5,1.0751
-27.5,87.5,0.8375
-27.5,92.5,0.4625
-27.5,97.5,-0.052
-27.5,102.5,-0.42
-27.5,107.5,-0.5678
-27.5,112.5,-0.4834
-27.5,117.5,0.366
-27.5,122.5,0.709
-27.5,127.5,0.1108
-27.5,132.5,0.3407
-27.5,137.5,1.3352
-27.5,142.5,1.5437
-27.5,147.5,3.088
-27.5,152.5,2.4536
-27.5,157.5,0.8781
-27.5,162.5,0.6148
-27.5,167.5,0.3194
-27.5,172.5,0.1501
-27.5,177.5,0.287
-27.5,182.5,0.5587
-27.5,187.5,0.9654
-27.5,192.5,1.205
-27.5,197.5,1.3625
-27.5,202.5,1.3688
-27.5,207.5,1.1925
-27.5,212.5,0.8947
-27.5,217.5,0.4578
-27.5,222.5,0.1547
-27.5,227.5,-0.1599
-27.5,232.5,-0.3065
-27.5,237.5,-0.2989
-27.5,242.5,-0.1549
-27.5,247.5,0.1198
-27.5,252.5,0.3819
-27.5,257.5,0.7348
-27.5,262.5,1.0103
-27.5,267.5,1.1602
-27.5,272.5,1.0364
-27.5,277.5,0.6104
-27.5,282.5,0.2416
-27.5,287.5,0.2324
-27.5,292.5,2.1695
-27.5,297.5,1.5325
-27.5,302.5,0.63
-27.5,307.5,1.0686
-27.5,312.5,1.6553
-27.5,317.5,1.5659
-27.5,322.5,1.2866
-27.5,327.5,1.1424
-27.5,332.5,1.1691
-27.5,337.5,1.2789
-27.5,342.5,1.3924
-27.5,347.5,1.4516
-27.5,352.5,1.4106
-27.5,357.5,1.2671
-22.5,2.5,0.8715
-22.5,7.5,0.7607
-22.5,12.5,0.6553
-22.5,17.5,0.13
-22.5,22.5,-0.2877
-22.5,27.5,-0.2622
-22.5,32.5,-0.0226
-22.5,37.5,0.7181
-22.5,42.5,0.8066
-22.5,47.5,0.8277
-22.5,52.5,1.0203
-22.5,57.5,0.8667
-22.5,62.5,0.7409
-22.5,67.5,0.6429
-22.5,72.5,0.6105
-22.5,77.5,0.5808
-22.5,82.5,0.4858
-22.5,87.5,0.2647
-22.5,92.5,-0.0734
-22.5,97.5,-0.4328
-22.5,102.5,-0.5991
-22.5,107.5,-0.5464
-22.5,112.5,-0.3504
-22.5,117.5,0.2372
-22.5,122.5,0.2767
-22.5,127.5,-0.2482
-22.5,132.5,-0.3923
-22.5,137.5,-0.0457
-22.5,142.5,0.7146
-22.5,147.5,1.2754
-22.5,152.5,0.8234
-22.5,157.5,0.6718
-22.5,162.5,0.4886
-22.5,167.5,0.2906
-22.5,172.5,0.2333
-22.5,177.5,0.4227
-22.5,182.5,0.6654
-22.5,187.5,1.0976
-22.5,192.5,1.3562
-22.5,197.5,1.4674
-22.5,202.5,1.2746
-22.5,207.5,1.2077
-22.5,212.5,0.8323
-22.5,217.5,0.6067
-22.5,222.5,0.3224
-22.5,227.5,0.1768
-22.5,232.5,0.1711
-22.5,237.5,0.2454
-22.5,242.5,0.4112
-22.5,247.5,0.6185
-22.5,252.5,0.7768
-22.5,257.5,0.9276
-22.5,262.5,1.063
-22.5,267.5,1.0614
-22.5,272.5,0.8892
-22.5,277.5,0.6695
-22.5,282.5,0.5637
-22.5,287.5,0.601
-22.5,292.5,1.1983
-22.5,297.5,2.0669
-22.5,302.5,0.9633
-22.5,307.5,0.8774
-22.5,312.5,0.934
-22.5,317.5,1.0816
-22.5,322.5,0.7278
-22.5,327.5,0.5677
-22.5,332.5,0.5547
-22.5,337.5,0.6569
-22.5,342.5,0.8129
-22.5,347.5,0.9895
-22.5,352.5,1.0426
-22.5,357.5,1.0061
-17.5,2.5,0.5392
-17.5,7.5,0.8266
-17.5,12.5,0.3906
-17.5,17.5,-0.0143
-17.5,22.5,0.2963
-17.5,27.5,0.7566
-17.5,32.5,0.4565
-17.5,37.5,0.831
-17.5,42.5,0.662
-17.5,47.5,0.6615
-17.5,52.5,0.5008
-17.5,57.5,0.314
-17.5,62.5,0.0497
-17.5,67.5,-0.0964
-17.5,72.5,-0.118
-17.5,77.5,-0.1141
-17.5,82.5,-0.1418
-17.5,87.5,-0.2504
-17.5,92.5,-0.3328
-17.5,97.5,-0.3773
-17.5,102.5,-0.3381
-17.5,107.5,-0.2354
-17.5,112.5,-0.0953
-17.5,117.5,0.0432
-17.5,122.5,0.0942
-17.5,127.5,-0.5786
-17.5,132.5,-0.8377
-17.5,137.5,-0.167
-17.5,142.5,0.3304
-17.5,147.5,0.6397
-17.5,152.5,0.6238
-17.5,157.5,0.5694
-17.5,162.5,0.4817
-17.5,167.5,0.3673
-17.5,172.5,0.3796
-17.5,177.5,0.4578
-17.5,182.5,0.7593
-17.5,187.5,0.94
-17.5,192.5,1.1337
-17.5,197.5,1.314
-17.5,202.5,1.1504
-17.5,207.5,1.0174
-17.5,212.5,0.875
-17.5,217.5,0.7318
-17.5,222.5,0.7201
-17.5,227.5,0.6908
-17.5,232.5,0.7229
-17.5,237.5,0.7839
-17.5,242.5,0.8686
-17.5,247.5,0.9301
-17.5,252.5,0.9394
-17.5,257.5,0.9268
-17.5,262.5,0.9164
-17.5,267.5,0.8385
-17.5,272.5,0.8168
-17.5,277.5,0.9008
-17.5,282.5,1.0685
-17.5,287.5,1.0795
-17.5,292.5,0.8278
-17.5,297.5,1.1606
-17.5,302.5,1.0158
-17.5,307.5,1.1893
-17.5,312.5,1.1423
-17.5,317.5,1.1922
-17.5,322.5,0.329
-17.5,327.5,0.2185
-17.5,332.5,0.1404
-17.5,337.5,0.117
-17.5,342.5,0.1829
-17.5,347.5,0.2992
-17.5,352.5,0.3502
-17.5,357.5,0.4276
-12.5,2.5,0.2783
-12.5,7.5,0.9086
-12.5,12.5,1.0031
-12.5,17.5,0.4301
-12.5,22.5,0.9072
-12.5,27.5,1.0396
-12.5,32.5,0.9219
-12.5,37.5,0.7107
-12.5,42.5,0.4191
-12.5,47.5,0.3255
-12.5,52.5,0.1952
-12.5,57.5,0.0254
-12.5,62.5,-0.2956
-12.5,67.5,-0.4735
-12.5,72.5,-0.451
-12.5,77.5,-0.3567
-12.5,82.5,-0.3342
-12.5,87.5,-0.2802
-12.5,92.5,-0.1002
-12.5,97.5,0.1869
-12.5,102.5,0.2795
-12.5,107.5,0.2851
-12.5,112.5,0.1945
-12.5,117.5,0.1078
-12.5,122.5,0.1054
-12.5,127.5,0.1322
-12.5,132.5,0.1336
-12.5,137.5,0.4118
-12.5,142.5,0.4943
-12.5,147.5,0.6581
-12.5,152.5,0.6916
-12.5,157.5,0.6925
-12.5,162.5,0.6072
-12.5,167.5,0.5353
-12.5,172.5,0.5857
-12.5,177.5,0.5801
-12.5,182.5,0.6776
-12.5,187.5,0.7965
-12.5,192.5,0.842
-12.5,197.5,0.8927
-12.5,202.5,0.8864
-12.5,207.5,0.8393
-12.5,212.5,0.77
-12.5,217.5,0.874
-12.5,222.5,0.8558
-12.5,227.5,0.9334
-12.5,232.5,0.9451
-12.5,237.5,0.9396
-12.5,242.5,0.9272
-12.5,247.5,0.903
-12.5,252.5,0.8719
-12.5,257.5,0.8253
-12.5,262.5,0.7754
-12.5,267.5,0.7296
-12.5,272.5,0.8111
-12.5,277.5,1.1105
-12.5,282.5,1.3281
-12.5,287.5,0.9892
-12.5,292.5,0.2914
-12.5,297.5,0.6822
-12.5,302.5,0.9603
-12.5,307.5,1.1681
-12.5,312.5,1.2391
-12.5,317.5,1.145
-12.5,322.5,0.4522
-12.5,327.5,0.1194
-12.5,332.5,0.0238
-12.5,337.5,-0.1027
-12.5,342.5,-0.1661
-12.5,347.5,-0.1799
-12.5,352.5,-0.1858
-12.5,357.5,-0.0586
-7.5,2.5,0.2969
-7.5,7.5,0.9184
-7.5,12.5,1.0586
-7.5,17.5,1.0203
-7.5,22.5,1.2296
-7.5,27.5,1.0187
-7.5,32.5,0.8803
-7.5,37.5,0.7405
-7.5,42.5,0.3928
-7.5,47.5,0.3996
-7.5,52.5,0.3378
-7.5,57.5,0.1536
-7.5,62.5,-0.0952
-7.5,67.5,-0.2527
-7.5,72.5,-0.1641
-7.5,77.5,-0.187
-7.5,82.5,-0.1812
-7.5,87.5,-0.0807
-7.5,92.5,0.155
-7.5,97.5,0.4523
-7.5,102.5,0.6111
-7.5,107.5,0.5682
-7.5,112.5,0.4127
-7.5,117.5,0.2657
-7.5,122.5,0.1844
-7.5,127.5,0.2181
-7.5,132.5,0.3114
-7.5,137.5,0.4602
-7.5,142.5,0.4441
-7.5,147.5,0.6687
-7.5,152.5,0.8552
