time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-24T10:05:44.454Z,64.2157,-22.0297,10,4.5,mb,,110,0.614,0.7,us,us6000dkml,2021-02-24T11:18:54.120Z,"7 km NNW of Seltjarnarnes, Iceland",earthquake,5.6,1.9,0.062,77,reviewed,us,us
2021-02-24T09:58:29.578Z,45.4385,16.2448,10,3.9,mwr,,32,0.958,1.01,us,us6000dkmi,2021-02-24T18:24:24.339Z,"3 km W of Petrinja, Croatia",earthquake,3.5,2,0.071,19,reviewed,us,us
2021-02-24T08:53:32.306Z,30.7958,51.3877,10,4.9,mb,,65,3.781,0.76,us,us6000dkma,2021-02-24T11:58:35.558Z,"23 km NW of Yasuj, Iran",earthquake,5.6,1.7,0.067,70,reviewed,us,us
2021-02-24T07:23:50.530Z,37.9078333,-118.5451667,7.88,2.5,md,38,62,0.1914,0.08,nc,nc73527026,2021-02-25T06:29:29.040Z,"40km NNE of Toms Place, CA",earthquake,0.21,1.26,0.173,35,reviewed,nc,nc
2021-02-24T07:21:09.362Z,14.3973,-92.9994,35,4.4,mb,,184,1.27,1.03,us,us6000dklp,2021-02-24T08:00:13.040Z,"71 km WSW of Puerto Madero, Mexico",earthquake,8.5,2,0.051,110,reviewed,us,us
2021-02-24T06:11:54.888Z,45.162,-112.3422,6.52,2.6,ml,,77,0.269,0.69,us,us6000dkkt,2021-02-24T14:52:53.710Z,"Western Montana",earthquake,1.5,5.4,0.055,44,reviewed,us,us
2021-02-24T01:51:06.338Z,35.6719,5.166,10,4.7,mb,,65,3.402,1.07,us,us6000dkjr,2021-02-24T02:08:48.040Z,"23 km SSW of Salah Bey, Algeria",earthquake,6.8,1.9,0.055,101,reviewed,us,us
2021-02-24T01:40:23.384Z,14.2591,-92.9788,37.26,4.4,mb,,150,1.271,0.89,us,us6000dkjq,2021-02-24T05:18:42.786Z,"78 km SW of Puerto Madero, Mexico",earthquake,6.9,9.3,0.058,85,reviewed,us,us
2021-02-24T00:34:38.874Z,-22.0821,-65.9977,275.09,4.3,mb,,97,2.194,0.95,us,us6000dkjh,2021-02-24T02:15:37.063Z,"41 km W of Villazón, Bolivia",earthquake,9.5,9.9,0.125,18,reviewed,us,us
2021-02-23T22:56:44.572Z,44.2665,-115.1726,11.25,2.5,ml,,68,0.155,0.77,us,us6000dkiw,2021-02-24T07:02:52.507Z,"19 km WNW of Stanley, Idaho",earthquake,1.3,7,0.066,30,reviewed,us,us
2021-02-23T21:55:53.227Z,-24.2806,-66.9915,187.05,4.4,mb,,84,1.713,0.91,us,us6000dkhs,2021-02-23T22:35:31.664Z,"68 km W of San Antonio de los Cobres, Argentina",earthquake,10.1,6.8,0.202,7,reviewed,us,us
2021-02-23T21:44:58.290Z,19.1091,-67.2663,7,3.35,md,16,223,0.6601,0.46,pr,pr2021054011,2021-02-23T23:32:43.040Z,"70 km NNW of San Antonio, Puerto Rico",earthquake,1.91,2.11,0.13,11,reviewed,pr,pr
2021-02-23T20:04:24.340Z,17.9116,-66.9521,13,2.68,md,12,235,0.0967,0.14,pr,pr2021054009,2021-02-23T20:54:48.460Z,"8 km SW of Guánica, Puerto Rico",earthquake,0.78,0.39,0.24,9,reviewed,pr,pr
2021-02-23T19:25:11.940Z,17.9825,-66.9373,9,2.99,md,21,166,0.0586,0.14,pr,pr2021054010,2021-02-24T16:11:16.040Z,"2 km WSW of Fuig, Puerto Rico",earthquake,0.3,0.49,0.33,13,reviewed,pr,pr
2021-02-23T19:15:03.108Z,-20.0669,-69.0994,111.28,4.6,mb,,56,0.406,1.08,us,us6000dkgh,2021-02-24T02:12:39.064Z,"111 km E of Iquique, Chile",earthquake,6.5,2.9,0.129,21,reviewed,us,us
2021-02-23T19:01:12.668Z,42.1571,-126.3915,24.89,3,ml,,246,1.866,0.66,us,us6000dkgf,2021-02-23T19:12:08.040Z,"164 km W of Gold Beach, Oregon",earthquake,10.1,9.4,0.042,74,reviewed,us,us
2021-02-23T12:21:48.400Z,32.696,-115.7988333,11.1,2.64,ml,49,107,0.07681,0.27,ci,ci39798888,2021-02-23T22:52:42.929Z,"19km ESE of Ocotillo, CA",earthquake,0.31,0.5,0.185,84,reviewed,ci,ci
2021-02-23T10:23:06.990Z,18.6288,-66.7376,14,3.16,md,19,226,0.2575,0.36,pr,pr2021054008,2021-02-23T12:55:47.040Z,"Puerto Rico region",earthquake,1.02,1.2,0.14,13,reviewed,pr,pr
